study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,252,euc_line10_1_0_14.png,14,1,0
turk4,euc,252,euc_line10_1_0_14.png,14,2,0
turk4,euc,252,euc_line10_1_0_14.png,14,3,0
turk4,euc,252,euc_line10_1_0_14.png,14,4,0
turk4,euc,252,euc_line10_1_0_14.png,14,5,0
turk4,euc,252,euc_line10_1_0_14.png,14,6,0
turk4,euc,252,euc_line10_1_0_14.png,14,7,0
turk4,euc,252,euc_line10_1_0_14.png,14,8,0
turk4,euc,252,euc_line10_1_0_14.png,14,9,0
turk4,euc,252,euc_line10_1_0_14.png,14,10,0
turk4,euc,252,euc_line10_1_0_14.png,14,11,0
turk4,euc,252,euc_line10_1_0_14.png,14,12,0
turk4,euc,252,euc_line10_1_0_14.png,14,13,0
turk4,euc,252,euc_line10_1_0_14.png,14,14,7
turk4,euc,252,euc_line10_1_0_14.png,14,15,0
turk4,euc,252,euc_line10_1_0_14.png,14,16,0
turk4,euc,252,euc_line10_1_0_14.png,14,17,0
turk4,euc,252,euc_line10_1_0_14.png,14,18,0
turk4,euc,252,euc_line10_1_0_14.png,14,19,0
turk4,euc,252,euc_line10_1_0_14.png,14,20,0
turk4,euc,253,euc_line10_1_180_5.png,5,1,0
turk4,euc,253,euc_line10_1_180_5.png,5,2,0
turk4,euc,253,euc_line10_1_180_5.png,5,3,0
turk4,euc,253,euc_line10_1_180_5.png,5,4,0
turk4,euc,253,euc_line10_1_180_5.png,5,5,5
turk4,euc,253,euc_line10_1_180_5.png,5,6,0
turk4,euc,253,euc_line10_1_180_5.png,5,7,0
turk4,euc,253,euc_line10_1_180_5.png,5,8,0
turk4,euc,253,euc_line10_1_180_5.png,5,9,0
turk4,euc,253,euc_line10_1_180_5.png,5,10,0
turk4,euc,253,euc_line10_1_180_5.png,5,11,0
turk4,euc,253,euc_line10_1_180_5.png,5,12,0
turk4,euc,253,euc_line10_1_180_5.png,5,13,0
turk4,euc,253,euc_line10_1_180_5.png,5,14,0
turk4,euc,253,euc_line10_1_180_5.png,5,15,0
turk4,euc,253,euc_line10_1_180_5.png,5,16,0
turk4,euc,253,euc_line10_1_180_5.png,5,17,0
turk4,euc,253,euc_line10_1_180_5.png,5,18,0
turk4,euc,253,euc_line10_1_180_5.png,5,19,0
turk4,euc,253,euc_line10_1_180_5.png,5,20,0
turk4,euc,254,euc_line10_1_270_6.png,6,1,0
turk4,euc,254,euc_line10_1_270_6.png,6,2,0
turk4,euc,254,euc_line10_1_270_6.png,6,3,0
turk4,euc,254,euc_line10_1_270_6.png,6,4,0
turk4,euc,254,euc_line10_1_270_6.png,6,5,0
turk4,euc,254,euc_line10_1_270_6.png,6,6,5
turk4,euc,254,euc_line10_1_270_6.png,6,7,0
turk4,euc,254,euc_line10_1_270_6.png,6,8,0
turk4,euc,254,euc_line10_1_270_6.png,6,9,0
turk4,euc,254,euc_line10_1_270_6.png,6,10,0
turk4,euc,254,euc_line10_1_270_6.png,6,11,1
turk4,euc,254,euc_line10_1_270_6.png,6,12,0
turk4,euc,254,euc_line10_1_270_6.png,6,13,0
turk4,euc,254,euc_line10_1_270_6.png,6,14,0
turk4,euc,254,euc_line10_1_270_6.png,6,15,0
turk4,euc,254,euc_line10_1_270_6.png,6,16,0
turk4,euc,254,euc_line10_1_270_6.png,6,17,0
turk4,euc,254,euc_line10_1_270_6.png,6,18,0
turk4,euc,254,euc_line10_1_270_6.png,6,19,0
turk4,euc,254,euc_line10_1_270_6.png,6,20,0
turk4,euc,255,euc_line10_1_90_12.png,12,1,0
turk4,euc,255,euc_line10_1_90_12.png,12,2,0
turk4,euc,255,euc_line10_1_90_12.png,12,3,0
turk4,euc,255,euc_line10_1_90_12.png,12,4,0
turk4,euc,255,euc_line10_1_90_12.png,12,5,0
