"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,"20","turk10-Standard-Inner-Multiple-rep1","20-2",NA,"14","images/filebab6558ba4c4-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
2,"20","turk10-Standard-Inner-Single-rep1","20-2",NA,"14","images/filebab6558ba4c4-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
3,"20","turk10-Standard-Outer-Multiple-rep1","20-2",NA,"5","images/filebab642ee6bbc-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
4,"20","turk10-Standard-Outer-Single-rep1","20-2",NA,"5","images/filebab642ee6bbc-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
5,"20","turk10-Rotated-Inner-Multiple-rep1","20-2",NA,"14","images/filebab653677e4c-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
6,"20","turk10-Rotated-Inner-Single-rep1","20-2",NA,"14","images/filebab653677e4c-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
7,"20","turk10-Rotated-Outer-Single-rep1","20-2",NA,"5","images/filebab62f94da5b-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
8,"20","turk10-Rotated-Outer-Multiple-rep1","20-2",NA,"5","images/filebab62f94da5b-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
9,"20","turk10-Control-Inner-Single-rep1","20-2",NA,"14","images/filebab632e325f8-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
10,"20","turk10-Control-Inner-Multiple-rep1","20-2",NA,"14","images/filebab632e325f8-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
11,"20","turk10-Control-Outer-Multiple-rep1","20-2",NA,"5","images/filebab65ed1d6e1-multiple.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
12,"20","turk10-Control-Outer-Single-rep1","20-2",NA,"5","images/filebab65ed1d6e1-single.svg","turk10",1,"data-1-1-1-20-2-14-5.csv"
13,"30","turk10-Standard-Inner-Multiple-rep1","30-10",NA,"14","images/filebab61ebac1ee-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
14,"30","turk10-Standard-Inner-Single-rep1","30-10",NA,"14","images/filebab61ebac1ee-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
15,"30","turk10-Standard-Outer-Multiple-rep1","30-10",NA,"16","images/filebab677120004-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
16,"30","turk10-Standard-Outer-Single-rep1","30-10",NA,"16","images/filebab677120004-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
17,"30","turk10-Rotated-Inner-Multiple-rep1","30-10",NA,"14","images/filebab622727e69-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
18,"30","turk10-Rotated-Inner-Single-rep1","30-10",NA,"14","images/filebab622727e69-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
19,"30","turk10-Rotated-Outer-Single-rep1","30-10",NA,"16","images/filebab6ac9312a-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
20,"30","turk10-Rotated-Outer-Multiple-rep1","30-10",NA,"16","images/filebab6ac9312a-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
21,"30","turk10-Control-Inner-Single-rep1","30-10",NA,"14","images/filebab63ebf43ae-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
22,"30","turk10-Control-Inner-Multiple-rep1","30-10",NA,"14","images/filebab63ebf43ae-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
23,"30","turk10-Control-Outer-Multiple-rep1","30-10",NA,"16","images/filebab67ef474b0-multiple.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
24,"30","turk10-Control-Outer-Single-rep1","30-10",NA,"16","images/filebab67ef474b0-single.svg","turk10",2,"data-1-1-10-30-10-14-16.csv"
25,"50","turk10-Standard-Inner-Multiple-rep1","50-10",NA,"9","images/filebab6255aada3-multiple.svg","turk10",3,"data-1-1-11-50-10-9-4.csv"
26,"50","turk10-Standard-Inner-Single-rep1","50-10",NA,"9","images/filebab6255aada3-single.svg","turk10",3,"data-1-1-11-50-10-9-4.csv"
